source,target,length,length_norm,D_final,D_max,Q_final
35,39,1,1.0,1e-06,0.0,1.1469892228061704e-06
35,51,1,1.0,1e-06,0.0,9.77764769145292e-07
36,37,1,1.0,0.8,0.8,-0.7272328614826528
36,40,1,1.0,0.8,0.8,0.6082170746607279
36,52,1,1.0,0.8,0.8,0.39174093482318073
37,38,1,1.0,1e-06,0.0,-1.817964105366113e-06
37,41,1,1.0,1e-06,0.0,2.058444057594997e-06
37,53,1,1.0,1e-06,0.0,1.3987046023833165e-06
38,39,1,1.0,1e-06,0.0,1.4241296996586356e-06
38,42,1,1.0,1e-06,0.0,4.347652408456477e-06
38,54,1,1.0,1e-06,0.0,2.2669319563213894e-06
39,43,1,1.0,1e-06,0.0,2.9235079804817553e-06
39,55,1,1.0,1e-06,0.0,1.0717640981226881e-06
40,41,1,1.0,1.0,1.0,0.3891316374157716
40,44,1,1.0,0.36707178354638703,1.0,-6.006014004531963e-07
40,56,1,1.0,1.0,1.0,0.21908816185998092
41,42,1,1.0,0.6,0.6,0.28274654729722026
41,45,1,1.0,0.2218478116003543,0.6,-1.59120163548735e-06
41,57,1,1.0,0.6,0.6,0.10639261622930167
42,43,1,1.0,0.36803459943749567,1.0,-5.475274593060543e-06
42,46,1,1.0,0.36801702155751076,1.0,-2.6863792622890375e-06
42,58,1,1.0,1.0,1.0,0.28276340426023283
43,47,1,1.0,1e-06,0.0,-2.7510842691747617e-07
43,59,1,1.0,1e-06,0.0,6.899706090071209e-07
44,45,1,1.0,1e-06,0.0,3.8912615647803037e-07
44,60,1,1.0,1e-06,0.0,4.825601102752161e-07
45,46,1,1.0,1e-06,0.0,4.71244119652233e-07
45,61,1,1.0,1e-06,0.0,3.569047649381816e-07
46,47,1,1.0,1e-06,0.0,-2.7511592861833775e-07
46,62,1,1.0,1e-06,0.0,5.043558958128043e-07
47,63,1,1.0,1e-06,0.0,1.3722747440404984e-06
48,49,1,1.0,1e-06,0.0,-3.0946152598643725e-07
48,52,1,1.0,1e-06,0.0,1.9568362984017094e-06
49,50,1,1.0,1e-06,0.0,4.129793699922324e-08
49,53,1,1.0,1e-06,0.0,2.2662851813891716e-06
50,51,1,1.0,1e-06,0.0,2.632237826382759e-07
50,54,1,1.0,1e-06,0.0,1.2752504929619083e-06
51,55,1,1.0,1e-06,0.0,1.2409885517835666e-06
52,53,1,1.0,0.2958075197123047,0.8,-3.777666053035821e-06
52,56,1,1.0,0.8,0.8,0.3917466693255319
53,54,1,1.0,1e-06,0.0,-9.497367514280398e-07
53,57,1,1.0,1e-06,0.0,8.37060482260517e-07
54,55,1,1.0,1e-06,0.0,2.2896184145993414e-07
54,58,1,1.0,1e-06,0.0,2.3634838563953206e-06
55,59,1,1.0,1e-06,0.0,2.5417144913661883e-06
56,57,1,1.0,1.0,1.0,0.3473645026046268
56,60,1,1.0,1.0,1.0,0.2634703285808857
57,58,1,1.0,0.6,0.6,0.3460119736240583
57,61,1,1.0,0.6,0.6,0.10774598227035281
58,59,1,1.0,1.0,1.0,0.4071924764308016
58,62,1,1.0,1.0,1.0,0.22158526493734665
59,63,1,1.0,1.0,1.0,0.40719570811590144
60,61,1,1.0,1.0,1.0,0.2634708111409958
61,62,1,1.0,0.6,0.6,0.37121715031611346
62,63,1,1.0,1.0,1.0,0.5928029196093564
